epsilon,mean_Rg,mean_Re,P_coil,P_globule,state
0.5,3.9023456091509416,9.455462999960266,0.8702791089252597,0.12972089107474027,Coil
0.6,2.992109825226221,7.6071460550822545,0.8741523289632682,0.12584767103673178,Coil
0.7,2.4840523629711,5.764523006509252,0.929646509762838,0.07035349023716198,Coil
0.8,2.2002976183156107,3.9156308761492036,0.7964771337302381,0.2035228662697619,Coil
0.9,2.0466784361184494,4.285750928335401,0.5519773107366673,0.44802268926333266,Coil
1.0,1.980385214052098,3.629953691510673,0.3690180139232472,0.6309819860767528,Globule
1.1,1.9403334391165674,3.8853249133195837,0.28993847189745675,0.7100615281025433,Globule
1.2,1.9070522208823344,3.302790520759018,0.21112799670964408,0.7888720032903559,Globule
1.3,1.8789652273630801,3.3392518482993014,0.16831043505498716,0.8316895649450129,Globule
1.4,1.8561818998978836,2.458675958022799,0.13467230971187888,0.8653276902881211,Globule
1.5,1.835382094350328,2.615926318938242,0.11429863620967387,0.8857013637903262,Globule
1.6,1.8348827430367887,3.398738516689259,0.11384688489126825,0.8861531151087317,Globule
1.7,1.8079134293281198,2.2284630483844534,0.09434908737309555,0.9056509126269044,Globule
1.8,1.811103175328922,3.2827412266116895,0.09086362163415046,0.9091363783658495,Globule
1.9,1.8013284479751905,2.1340985769287766,0.09079534509357186,0.9092046549064281,Globule
2.0,1.7924977156907436,3.3404426289754676,0.07572323508449047,0.9242767649155095,Globule
2.1,1.7730341521756663,2.6979923121199834,0.06701666812787895,0.932983331872121,Globule
2.2,1.7732344680822576,3.0698724008609277,0.06404328797943573,0.9359567120205643,Globule
2.3,1.7724929027178928,2.8287743605312823,0.06548249626764974,0.9345175037323503,Globule
2.4,1.7614858637068647,2.8857058817203534,0.0613299303154215,0.9386700696845784,Globule
2.5,1.7562512201572968,1.7987505476288561,0.07069289442003925,0.9293071055799608,Globule
2.6,1.7542573050735641,1.8715332508413192,0.06847604258630739,0.9315239574136926,Globule
2.7,1.7456875552752307,3.1844522680155616,0.05005324712880731,0.9499467528711927,Globule
2.8,1.734070707962733,1.8565657209031416,0.060080370433852996,0.939919629566147,Globule
2.9,1.7290115920251938,3.2675519359425116,0.04149644434338741,0.9585035556566126,Globule
3.0,1.7414736921272536,1.9710806678217676,0.061053537662546765,0.9389464623374533,Globule
